population,streams,null_trials,statistic,null_median,null_mean,width_raw_sd,width_robust_core,width_left_scale,width_pred_1_over_sqrt_beta_M,beta_implied_core,probe_snr_db,h1_trials,excess_per_snr,deflection_per_snr_core
replicated,32,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.019136639,2.4185441,0,500,1.0047905,8.8394965
replicated,32,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.21650635,0.0025404216,0,500,314.98876,89.809637
replicated,64,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.013531647,1.209272,0,500,1.0047905,8.8394965
replicated,64,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.15309311,0.0012702108,0,500,314.98876,89.809637
replicated,128,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.0095683193,0.60463602,0,500,1.0059723,8.8498929
replicated,128,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.10825318,0.0006351054,0,500,293.65289,83.726351
replicated,256,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.0067658235,0.30231801,0,500,0.99591388,8.7614055
replicated,256,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.076546554,0.0003175527,0,500,298.38343,85.075124
replicated,512,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.0047841597,0.15115901,0,500,0.99682158,8.7693908
replicated,512,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.054126588,0.00015877635,0,500,300.4906,85.67592
replicated,1024,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.0033829117,0.075579503,0,500,0.99910049,8.7894392
replicated,1024,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.038273277,7.9388175e-05,0,500,291.70634,83.171351
replicated,2048,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.0023920798,0.037789751,0,500,1.0040564,8.8330376
replicated,2048,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.027063294,3.9694087e-05,0,500,299.58101,85.416577
