configuration,shelf_snr_db,duty_cycle,rho,allowance,tolerance,status,eta,masked_fraction,r_sys,r_injected,claim_over_truth,truth_inside_allowance
snrm55p0_duty025,-55,0.25,62,tenth_unmasked_truth,7.9056942e-08,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty025,-55,0.25,93,half_unmasked_truth,3.9528471e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty025,-55,0.25,93,tenth_unmasked_truth,7.9056942e-08,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty025,-55,0.25,112,half_unmasked_truth,3.9528471e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty025,-55,0.25,112,tenth_unmasked_truth,7.9056942e-08,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,12,half_unmasked_truth,7.9056942e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,12,tenth_unmasked_truth,1.5811388e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,31,half_unmasked_truth,7.9056942e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,31,tenth_unmasked_truth,1.5811388e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,62,half_unmasked_truth,7.9056942e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,62,tenth_unmasked_truth,1.5811388e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,93,half_unmasked_truth,7.9056942e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,93,tenth_unmasked_truth,1.5811388e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,112,half_unmasked_truth,7.9056942e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm55p0_duty050,-55,0.5,112,tenth_unmasked_truth,1.5811388e-07,no feasible point,nan,nan,nan,nan,nan,False
