schema_version,rf_channel,callsign,service_class,detectability_db,distance_km,bearing_deg,frequency_tolerance,chime_ch_index,nominal_pilot_mhz,city,state_prov,erp_kw,evidence_status
dtv_transmitter_census_v1,23,KGWZ-LD,Low-power (LPTV),,481.2,209.7,None specified,706,524.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,27,K27PI-D,Translator (LPTV),,481.2,209.7,None specified,644,548.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,KJYY-LD+KOPB-TV,Full-power,,481.2,209.7,None specified,614,560.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,KUNP-LD,Low-power (LPTV),,481.2,209.7,None specified,537,590.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,26,KGW,Full-power,,481.2,209.7,±1 kHz,660,542.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,32,KNMT,Full-power,,481.2,209.7,±1 kHz,568,578.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,35,KORK-CD,Class A,,481.2,209.7,±1 kHz,521,596.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,KOPB-TV,Full-power,,481.2,209.7,±1 kHz,,nan,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,21,K21DE-D,Translator (LPTV),,490.8,222.6,None specified,736,512.309441,SEASIDE-ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,17,CJIL-DT,Full-power,,489.6,81.5,±1 kHz,798,488.309441,Lethbridge,AB,8.600,reported_on_air_licensed
dtv_transmitter_census_v1,29,CKAL-1,Relay,,485.1,82.7,±1 kHz,614,560.309441,Lethbridge,AB,58.500,reported_on_air_licensed
dtv_transmitter_census_v1,18,K18EL-D,Translator (LPTV),,513.4,210.7,None specified,783,494.309441,NEWBERG/TIGARD,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,18,K18KI-D,Translator (LPTV),,523.0,164.3,None specified,783,494.309441,BAKER CITY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,20,K20IV-D,Translator (LPTV),,523.0,164.3,None specified,752,506.309441,"BAKER CITY, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,22,K22LY-D,Translator (LPTV),,523.0,164.3,None specified,721,518.309441,BAKER VALLEY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,24,K24MC-D,Translator (LPTV),,523.0,164.3,None specified,690,530.309441,BAKER VALLEY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,27,K27MX-D,Translator (LPTV),,523.0,164.3,None specified,644,548.309441,BAKER VALLEY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,30,K30OF-D,Translator (LPTV),,523.0,164.3,None specified,598,566.309441,BAKER VALLEY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36NP-D,Translator (LPTV),,523.0,164.3,None specified,506,602.309441,BAKER VALLEY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,15,CKEM-1,Relay,,530.4,50.1,±1 kHz,829,476.309441,Red Deer,AB,35.000,reported_on_air_licensed
dtv_transmitter_census_v1,15,K15KV-D,Translator (LPTV),,524.6,219.8,None specified,829,476.309441,ROCKAWAY BEACH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,17,K17NJ-D,Translator (LPTV),,524.6,219.8,None specified,798,488.309441,Rockaway Beach,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,20,K20HT-D,Translator (LPTV),,524.6,219.8,None specified,752,506.309441,ROCKAWAY BEACH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23NS-D,Translator (LPTV),,524.6,219.8,None specified,706,524.309441,ROCKAWAY BEACH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,K29LW-D,Translator (LPTV),,524.6,219.8,None specified,614,560.309441,ROCKAWAY BEACH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36GU-D,Translator (LPTV),,524.6,219.8,None specified,506,602.309441,ROCKAWAY BEACH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,CITV-1,Relay,,530.7,49.5,±1 kHz,629,554.309441,Red Deer,AB,132.000,reported_on_air_licensed
dtv_transmitter_census_v1,24,K24KG-D,Translator (LPTV),,534.3,192.9,None specified,690,530.309441,MADRAS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,26,K26NX-D,Translator (LPTV),,534.3,192.9,None specified,660,542.309441,MADRAS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,K28OV-D,Translator (LPTV),,534.3,192.9,None specified,629,554.309441,MADRAS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,K28MJ-D,Translator (LPTV),,534.3,218.1,None specified,629,554.309441,TILLAMOOK,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34JR-D,Translator (LPTV),,534.3,192.9,None specified,537,590.309441,MADRAS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34PJ-D,Translator (LPTV),,534.3,218.1,None specified,537,590.309441,TILLAMOOK,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K35CR-D,Translator (LPTV),,534.3,218.1,None specified,521,596.309441,"TILLAMOOK, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,26,K26FQ-D,Translator (LPTV),,547.2,174.4,None specified,660,542.309441,JOHN DAY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,22,KPXG-TV,Full-power,,550.4,209.2,±1 kHz,721,518.309441,SALEM,OR,,reported_on_air_unverified
