relative_path,role,size_bytes,sha256
high/snr_p9/dtv_snr_eval.csv,trial_csv,67946,fbb4f5cce2e8d75763748cd80ad6076d8d026efb6d4942ab8e966b95212fede7
high/snr_p9/dtv_snr_eval.json,metadata_json,241656,6cb3cd9c1c8e0f8703fbc3601cb823caf09d94a55e0639e4a0166b83c89a841b
high/snr_p9/dtv_snr_summary.csv,summary_csv,2453,f0f572e0e763ab3c2c5172ee7440b2b067d5a7c6c12783bc5075911abeed2c28
lower/dtv_snr_eval.csv,trial_csv,1285449,3411a49a5b9187502766ee9581f520c9f86f5fe66bdd4f30b350c7293c8644dd
lower/dtv_snr_eval.json,metadata_json,4404030,0d5e974ac7c1ba3205ad3a64ab1c9b3543391569d14cddc55d59d3df13db86fb
lower/dtv_snr_summary.csv,summary_csv,5973,5b31de80f710a7e29319b1b848f6402a938c29332cd435adcef6e13388d962f3
lower_additional/snr_m30/part_1/dtv_snr_eval.csv,trial_csv,419769,2f6a8fa37a678e0d8793cd62b0e0f67da8ae0e4e0d37f9155854a0eb0cba04ae
lower_additional/snr_m30/part_1/dtv_snr_eval.json,metadata_json,1415962,56fb2e5ff7e547304f1985dd4876df02c9b4e74486d3a40145069cf047c52b39
lower_additional/snr_m30/part_1/dtv_snr_summary.csv,summary_csv,2494,caccc8e4230cf79430ed1a3045c5c3c44e8599e77f2df80deca09fe9efba8a9b
lower_additional/snr_m30/part_2/dtv_snr_eval.csv,trial_csv,419415,0bbd70facba7a4b268c5cd5d0f3b0d9b6eb54186552c15a7f0ca90b6ecdb11f7
lower_additional/snr_m30/part_2/dtv_snr_eval.json,metadata_json,1415640,05376fe516ea3ad844c6f04d4f41d95b83ca29bf6d1a05356f15e79dc0bf93da
lower_additional/snr_m30/part_2/dtv_snr_summary.csv,summary_csv,2493,1e3cd557e0796f37138de093afbf84d1a968003591ab54caca0f2def626def03
lower_additional/snr_m33/part_1/dtv_snr_eval.csv,trial_csv,415214,fe96ccfd437a4b07ae790c2979073abfd43388b0c47294c4612456728645a2be
lower_additional/snr_m33/part_1/dtv_snr_eval.json,metadata_json,1411708,c2875ca70a7eaf18e21b52604e0866c187e662267d227183ddc77316e33373a8
lower_additional/snr_m33/part_1/dtv_snr_summary.csv,summary_csv,2497,0ab7c04386b26a2e824c068aa60c3abd0f699b5c64c050d2155ba896e33cdb92
lower_additional/snr_m33/part_2/dtv_snr_eval.csv,trial_csv,413452,a80d14521df99d6afc3e084219fe9c7e728e230b038c6309a22eb2620857b499
lower_additional/snr_m33/part_2/dtv_snr_eval.json,metadata_json,1410072,ab06ca0f7e6e9f7c6f77ee6b04f82e5d21a0f5632b14feadd01723515c7892a8
lower_additional/snr_m33/part_2/dtv_snr_summary.csv,summary_csv,2496,eec91481ac9e87fdea8992423836723b995f3196691fa4665e474315a98da057
